,title,i7,ezpool,ezpool_counts,too_short,match_1,match_multiple,overall_align,CDS,CDS_inverse,ncRNA_inverse,ncRNA,rRNA_inverse,rRNA,tRNA,tRNA_inverse,mean,5th,10th,50th,90th,95th
22,rz_frg_5m-yafq2,1,23,8003764,2925,66.71,30.26,98.33,4946313.0,53142.0,3784.0,960798.0,1485.0,2283676.0,132266.0,491.0,245.72628189057875,152.0,169.0,237.0,334.0,367.0
23,rz_frg_5m-higb2,1,24,17143448,10428,29.51,65.09,96.88,4473224.0,246300.0,3696.0,807405.0,4877.0,10882907.0,593560.0,286.0,233.9925653546328,140.0,158.0,227.0,324.0,357.0
24,rz_5m-ev1,2,1,21021208,11277,66.5,27.89,96.74,10588293.0,504517.0,24443.0,4207863.0,351710.0,5087030.0,525099.0,7499.0,277.72707158774057,141.0,170.0,273.0,395.0,438.0
25,rz_5m-mazf1,2,2,17612976,7931,63.64,31.81,97.22,6129773.0,303274.0,7964.0,5237794.0,41888.0,5265878.0,1098605.0,523.0,270.0517695752436,153.0,176.0,268.0,367.0,416.0
26,rz_5m-rele1,2,3,20491098,3161,79.34,17.67,98.27,15082079.0,273343.0,15887.0,3058194.0,73687.0,2722240.0,810785.0,2930.0,260.4406708350036,142.0,167.0,249.0,370.0,416.0
27,rz_5m-chpb1,2,4,18056044,7947,60.65,34.12,96.76,6838233.0,221496.0,11478.0,4586871.0,116492.0,5834039.0,823959.0,1764.0,277.6192785836007,155.0,180.0,276.0,380.0,430.0
28,rz_5m-hica1,2,5,17412040,6040,63.04,33.1,97.8,7116853.0,235963.0,8345.0,4558987.0,133696.0,5398513.0,651190.0,2961.0,277.34657081798935,148.0,176.0,274.0,389.0,434.0
29,rz_5m-yhav1,2,6,19255819,4235,75.85,21.06,98.22,13120578.0,374715.0,14560.0,3084062.0,143134.0,3429991.0,743677.0,2268.0,271.2352423468513,155.0,169.0,263.0,384.0,431.0
30,rz_5m-mqsr1,2,7,18132452,12339,60.15,35.63,97.62,8310657.0,242397.0,9443.0,3327010.0,155887.0,5945739.0,915571.0,4105.0,271.9043252510121,156.0,177.0,264.0,385.0,429.0
31,rz_5m-rnla1,2,8,8268164,4180,52.97,39.04,94.27,2631097.0,53525.0,3987.0,1936220.0,47269.0,3085918.0,315128.0,1253.0,279.24278886965516,153.0,178.0,275.0,396.0,443.0
32,rz_5m-yoeb1,2,9,18424280,9426,61.29,35.29,98.02,9195008.0,341660.0,12304.0,2915043.0,327746.0,5898780.0,551498.0,4027.0,274.10669094370894,158.0,180.0,271.0,374.0,419.0
33,rz_5m-yafo1,2,10,20472194,10367,65.92,30.57,97.99,10285888.0,361217.0,14474.0,4180336.0,716058.0,5266179.0,536010.0,5745.0,277.56138992157497,154.0,176.0,272.0,383.0,429.0
34,rz_5m-yafq1,2,11,10051190,2341,66.02,30.42,98.07,3751230.0,97569.0,7306.0,3206662.0,58203.0,2884411.0,238308.0,1570.0,272.636575731581,135.0,166.0,268.0,391.0,440.0
35,rz_5m-higb1,2,12,17771016,5262,71.71,24.37,97.75,10162669.0,282138.0,15142.0,3738479.0,57350.0,3921407.0,776789.0,717.0,275.0379014688469,157.0,179.0,270.0,384.0,431.0
36,rz_5m-ev2,2,13,20874191,15007,72.99,23.15,97.81,11626406.0,454617.0,16352.0,4498710.0,462602.0,3987518.0,735337.0,4217.0,276.0651438843988,140.0,171.0,269.0,391.0,439.0
37,rz_5m-mazf2,2,14,19544689,18895,62.62,32.82,97.24,8865228.0,623978.0,12479.0,3748155.0,392053.0,5705136.0,902236.0,1947.0,271.721927079211,148.0,171.0,265.0,382.0,421.0
